#{"t_start": 1735310207.876689, "env_id": "BriscolaEpsGreedy-v0"}
r,l,t
-79.751389,14,126.068876
42.531667,20,126.088876
9.4625,20,126.109875
-69.878611,14,126.123868
-62.075278,14,126.139868
-74.618333,15,126.154866
-99.7075,16,126.171879
64.5225,14,126.188874
-68.396944,15,126.204865
-90.681667,15,126.218866
-61.271667,15,126.236865
84.2675,16,126.252865
-51.901667,19,126.271866
-51.098333,16,126.289867
12.756111,20,126.309873
-71.961389,7,126.316874
49.821111,15,126.329872
-28.397778,18,126.349872
-42.760833,16,126.366875
34.9525,18,126.384865
2.033333,20,126.404865
64.004167,20,126.424865
-76.887778,18,126.443868
-56.041111,19,126.462868
-54.226389,18,126.479866
29.481667,20,126.500865
-63.251389,16,126.516865
-28.699722,19,126.53687
-79.627778,12,126.548886
41.6075,20,126.570886
-45.4125,18,126.587866
-29.079167,20,126.608866
-62.188611,18,126.630871
-58.318611,11,126.643867
-73.1475,14,126.656866
-30.968056,20,126.677866
-95.076667,16,126.694868
59.821389,20,126.714868
-26.923056,20,126.734866
-50.9225,17,126.750866
62.1875,15,126.767865
-55.772778,18,126.788866
63.451111,8,126.797865
-74.781111,12,126.810866
62.733333,18,126.82787
66.107222,14,126.843882
0.248333,20,126.865871
-76.849722,10,126.874866
-82.028056,16,126.890866
-43.491111,16,126.906867
-67.363611,16,126.923867
-10.203056,19,126.943872
-77.399444,11,126.955865
2.470278,20,126.976866
-70.159167,12,126.988866
-83.6025,15,127.002867
13.274444,20,127.023865
-74.306944,16,127.040865
-28.623333,20,127.060865
-13.370278,19,127.082866
-67.542778,15,127.099865
37.354722,19,127.121866
-69.621944,11,127.131871
-70.206944,11,127.14487
64.138611,18,127.164866
-71.2025,12,127.178866
-52.948333,17,127.196865
-56.388889,13,127.209865
-50.189722,17,127.227865
45.4675,17,127.247866
21.860833,19,127.266869
65.625833,12,127.277866
22.911389,20,127.297866
-56.194167,15,127.313866
26.895833,19,127.332869
-95.3325,12,127.345865
37.575556,17,127.362882
-67.189167,17,127.381882
-44.308889,19,127.403885
12.040556,20,127.423885
-85.560556,19,127.445866
-85.68,11,127.457867
-42.5,19,127.476882
-35.316389,18,127.497883
-72.93,13,127.511884
-47.7125,18,127.532867
75.583333,14,127.545867
-70.668056,9,127.553867
58.760278,15,127.569886
-34.183889,19,127.588866
-73.221111,14,127.600865
-60.610278,17,127.620865
53.572222,18,127.637865
-50.351667,15,127.652865
-47.610278,10,127.661865
-40.771389,18,127.680865
-51.274444,17,127.697865
-3.592778,20,127.717865
-74.8875,15,127.735866
-35.812778,20,127.756866
-74.996944,15,127.771867
47.097222,16,127.789865
-12.921389,20,127.808882
-76.387222,18,127.825884
-83.213056,8,127.833887
-4.12,20,127.854883
-53.901667,14,127.869886
46.846389,18,127.885865
-71.673333,16,127.903867
2.7075,20,127.925865
3.946944,20,127.946865
-23.416944,20,127.967865
37.231944,18,127.989871
-63.308611,12,128.003866
-67.921944,15,128.019869
-69.338333,20,128.038865
11.167222,19,128.057865
-60.143333,17,128.074865
-21.250278,20,128.094865
19.736111,20,128.11687
-83.6775,13,128.132869
-2.860833,20,128.152871
-51.950833,17,128.169865
-89.716389,14,128.184866
-66.590833,17,128.204865
-97.763333,14,128.217865
-71.413056,13,128.231865
-68.236667,12,128.243867
-26.909167,17,128.264865
44.458056,13,128.277865
71.468056,12,128.290867
-47.093889,19,128.310866
-81.779722,15,128.324865
-52.369444,16,128.339864
62.576944,13,128.353865
-43.88,19,128.371866
-54.942222,17,128.388865
14.689167,20,128.408871
-86.992222,13,128.420886
21.828611,20,128.442866
6.880833,20,128.463865
-76.203056,12,128.476865
-73.382222,16,128.493866
-78.520278,17,128.511868
-43.428611,19,128.530873
28.888611,20,128.551872
-41.648889,17,128.568871
-71.005,12,128.580873
-45.861944,18,128.601865
-63.535556,18,128.617869
-67.416389,17,128.634866
38.436389,19,128.653882
-51.961667,13,128.666872
-85.640278,13,128.682884
26.378889,19,128.701865
-83.791944,13,128.719866
-86.156667,13,128.732866
-72.792778,15,128.750869
-3.4,20,128.771867
-30.116389,19,128.789869
-68.653611,16,128.807865
0.595,20,128.827884
-33.555833,19,128.849865
7.716944,20,128.870865
-4.233611,20,128.891865
-59.793889,14,128.908872
44.250278,19,128.927871
-64.980556,17,128.946872
-69.922778,14,128.962866
-61.764167,17,128.980866
-43.084167,16,128.997865
-26.164722,19,129.020867
24.086111,19,129.041869
-54.010556,13,129.054866
67.925833,15,129.071868
-48.869167,20,129.092887
66.595556,15,129.107886
-67.593333,20,129.127865
36.582222,20,129.147865
62.704444,15,129.162865
-54.634722,12,129.175865
-47.074167,18,129.194865
-71.986111,10,129.203866
-40.327778,18,129.224865
-95.499167,15,129.239865
-62.436667,17,129.256866
-14.332222,17,129.273865
-9.195833,20,129.294865
66.974722,13,129.307865
-50.861111,13,129.320867
-62.124444,15,129.334865
62.508611,18,129.355871
12.650278,20,129.375867
-57.444444,16,129.39187
43.409167,20,129.411867
-61.6125,11,129.423867
14.715556,20,129.443883
-43.524444,17,129.461886
67.67,15,129.477865
30.792222,16,129.493865
-76.893889,13,129.505865
11.1725,20,129.525872
-65.27,14,129.539867
6.038611,19,129.562865
-64.984722,18,129.583866
55.494444,12,129.595867
-80.596944,13,129.608865
-32.904722,19,129.631866
-52.590278,18,129.647865
-53.71,15,129.662868
-71.673611,15,129.677866
-72.761944,14,129.689867
-70.480833,16,129.705867
-65.335,15,129.720865
-67.564444,17,129.739866
-45.902222,14,129.754867
-91.315278,16,129.770866
-1.316944,20,129.792866
45.7625,20,129.813866
-86.646389,12,129.828867
-52.733333,17,129.845866
-63.473889,17,129.861868
-12.956944,19,129.880866
-54.2825,18,129.897865
-51.899722,16,129.912887
-36.969444,20,129.933867
-80.565833,17,129.952868
-64.193333,20,129.972867
-61.624444,17,129.991866
-43.110833,18,130.011867
-78.025833,17,130.031866
-55.163611,14,130.047869
17.030833,20,130.071866
13.570833,19,130.093866
-53.907778,19,130.115866
-50.955,18,130.133865
-27.633333,18,130.152865
-27.513889,18,130.170869
13.213333,20,130.190878
-58.648611,16,130.207876
-24.703333,19,130.226867
-19.175,18,130.245865
-88.194167,13,130.261866
-22.681111,20,130.282866
-26.276944,19,130.300865
-53.77,17,130.319865
-64.730278,16,130.339888
-69.260278,11,130.348886
67.726944,10,130.359865
24.740556,20,130.384872
-55.656389,16,130.403867
29.370556,18,130.424866
-14.725556,18,130.446867
-79.721389,15,130.461867
-45.078889,20,130.481866
-64.996667,15,130.495866
36.919722,18,130.514865
-51.549167,16,130.530866
-29.251389,19,130.55387
-75.797222,11,130.566868
-17.888889,20,130.592876
-69.493333,17,130.617875
-84.822222,16,130.637878
-45.368056,20,130.662876
-36.896944,20,130.686871
-6.050278,19,130.70587
-75.846111,16,130.723865
-47.371944,17,130.743865
-37.440556,20,130.763868
57.062222,14,130.775867
-87.194444,14,130.790866
-19.2975,19,130.807865
-54.026389,18,130.827866
56.476667,17,130.843866
-69.278889,11,130.854867
-47.0075,16,130.871868
-50.075,17,130.887866
-21.453889,17,130.903866
72.656667,14,130.917866
-63.087222,19,130.937865
29.036944,19,130.953865
10.369444,20,130.974865
-21.727778,19,130.995865
-65.568056,13,131.008865
-72.760833,13,131.022866
63.093333,17,131.039866
40.858889,16,131.055865
-74.324444,12,131.068866
-64.305,16,131.084867
-60.001111,17,131.101866
5.068056,20,131.121866
-30.464722,16,131.136865
-79.646667,14,131.152865
-54.726667,16,131.168867
-81.857778,12,131.181866
-63.451111,17,131.198867
-52.895556,14,131.212867
-87.293333,13,131.227865
-50.953333,14,131.241865
-67.58,13,131.256865
-0.760833,20,131.276865
-52.815278,17,131.296865
-39.054167,18,131.315865
-42.760278,19,131.337866
-29.628333,19,131.359866
-95.907778,18,131.377865
-49.599722,12,131.389866
41.509444,18,131.409866
-76.215,13,131.421865
48.337222,19,131.440867
20.495278,20,131.460866
26.583056,19,131.478865
-66.429167,13,131.493866
-46.386111,17,131.510865
-45.333333,17,131.528866
-10.823611,20,131.55087
-74.191111,17,131.567865
88.043056,11,131.579874
29.820833,20,131.600865
35.750278,20,131.619865
-77.753333,16,131.635865
-34.941944,17,131.652865
-36.193333,20,131.674865
-50.963611,14,131.692867
-87.538889,12,131.706865
-77.500556,11,131.718865
-41.949167,19,131.735865
-81.136667,11,131.747865
-23.606111,20,131.767865
-66.651111,14,131.783868
-91.479167,12,131.797865
-20.623611,20,131.820865
-32.683611,17,131.837865
-75.174444,13,131.850865
-62.519444,18,131.873867
13.062778,20,131.894865
44.892222,20,131.916878
-48.409722,11,131.931875
65.781111,11,131.944871
-62.241667,14,131.960871
-7.164722,20,131.980872
4.607222,20,132.000874
-83.082778,12,132.013872
-76.456389,16,132.029873
-79.340278,10,132.038872
33.998333,18,132.058873
-58.107778,15,132.072867
-50.427222,16,132.088866
-75.638056,15,132.104866
55.551111,16,132.121866
33.910833,20,132.145867
-111.965,16,132.164866
44.500556,20,132.187865
-67.274167,13,132.201866
-73.310556,14,132.218866
-51.371389,10,132.228868
43.076111,19,132.249865
-68.801667,14,132.263865
-57.221389,15,132.276865
53.564722,15,132.291869
-83.036944,14,132.306868
59.344167,19,132.325869
-42.833889,18,132.347883
-66.698889,16,132.365866
-36.028611,20,132.387866
-79.476944,11,132.400867
-70.325,13,132.414866
15.2725,20,132.436867
-17.557778,20,132.458865
-52.596111,17,132.474865
46.093889,15,132.490865
42.664167,19,132.510866
-66.293333,16,132.526869
-70.460833,17,132.542869
-76.725,14,132.554865
-69.458889,13,132.570865
-87.298056,17,132.587866
-63.930833,13,132.601865
53.135278,20,132.622868
-30.243333,20,132.642868
2.908611,20,132.662865
-52.045,19,132.682867
-36.591944,16,132.700865
30.763611,18,132.718871
-49.234722,17,132.73787
20.744167,20,132.759872
-53.174444,17,132.775874
-34.457222,17,132.792873
44.250278,19,132.814873
-46.591667,20,132.834872
-77.506389,17,132.852872
20.7475,18,132.873866
-28.708889,19,132.890865
15.164722,18,132.909872
18.873889,20,132.929886
-13.100556,20,132.949885
-80.310278,10,132.961868
-82.184722,17,132.990876
51.495556,20,133.017873
20.676111,20,133.047868
-66.663889,14,133.060869
-51.779444,11,133.073866
-70.846944,14,133.087869
-79.473889,14,133.101866
-75.145278,15,133.118866
-54.198056,19,133.135865
36.199167,18,133.15687
-31.654167,20,133.176866
-32.436944,17,133.195866
-54.606111,16,133.211865
-88.335,14,133.227865
-46.709444,17,133.244865
35.999444,14,133.257867
57.650556,13,133.300875
-76.385278,11,133.327875
-40.914722,19,133.520889
-12.566111,20,133.56989
-7.593333,20,133.789876
-62.073056,12,133.808871
-65.891389,13,133.823874
11.220278,19,133.846875
-35.602778,17,133.865872
-42.808889,20,133.887865
19.325833,19,133.906865
29.242778,20,133.925866
-44.692222,16,133.941866
56.324444,14,133.958866
-82.6275,19,133.976865
41.306667,20,134.002876
21.245556,20,134.029874
-58.925556,19,134.056866
-8.193333,20,134.082869
-46.391667,18,134.10787
-62.140278,15,134.124865
57.766944,14,134.144865
65.242222,13,134.158866
53.7025,18,134.180874
-0.2275,20,134.205879
42.917222,20,134.230875
-47.486389,16,134.250871
-73.440833,14,134.266874
112.5525,13,134.281871
-65.4925,15,134.301865
21.993056,19,134.32487
-70.403611,14,134.337865
-60.128333,13,134.353866
-75.258333,9,134.362865
63.527222,13,134.374865
36.053333,17,134.391865
-79.293889,15,134.408865
-89.437778,14,134.425869
-94.575833,13,134.437865
27.611389,19,134.456866
-47.294444,20,134.477866
-60.844167,16,134.492867
-84.309444,12,134.504866
-21.915833,19,134.525865
70.872778,13,134.542865
-18.419167,18,134.561865
-58.7775,15,134.578866
26.061389,17,134.597872
-78.520833,10,134.609865
59.470278,19,134.626865
-63.688056,17,134.646872
49.348889,20,134.665866
-45.747778,16,134.682865
58.627778,16,134.700867
-81.206944,19,134.717865
-86.08,11,134.729867
-62.235833,15,134.745865
-77.274722,20,134.765867
-71.122222,16,134.783865
-50.361667,20,134.803866
21.146389,20,134.826866
57.913611,19,134.846867
67.106389,20,134.866866
-62.106389,17,134.883865
-77.0925,19,134.904866
-48.990556,18,134.921865
-39.266667,18,134.942865
-33.733056,17,134.960865
-88.972778,11,134.973866
-59.931389,18,134.992865
35.050278,20,135.015866
-35.995278,18,135.034865
-81.99,13,135.045865
17.366111,20,135.066864
-62.612222,12,135.079865
-35.743611,19,135.10187
-33.584722,18,135.126865
-52.331944,14,135.142866
-39.705278,16,135.160866
49.796111,17,135.179866
-77.130833,12,135.190866
59.725278,20,135.211865
5.720278,20,135.233865
-63.820833,14,135.246865
-62.766389,13,135.262866
-1.83,20,135.282869
-42.968611,18,135.300865
-37.846944,19,135.322865
-38.011944,19,135.344865
-88.561667,19,135.363871
-51.814444,16,135.379866
-42.955278,16,135.395866
-33.147778,19,135.416869
36.538889,17,135.434883
-65.064167,18,135.455869
-7.002778,20,135.476884
-41.741944,19,135.498872
-33.449444,20,135.518866
-38.178611,15,135.537865
-31.666667,20,135.560883
45.443611,16,135.577866
-81.836111,14,135.592867
5.916944,20,135.612866
-58.538333,15,135.628866
-29.869444,19,135.646868
-64.941111,14,135.662865
26.976944,19,135.68387
57.766667,18,135.701871
58.557222,18,135.724866
-49.410278,19,135.743865
-54.108611,16,135.762866
-77.193889,13,135.779865
-58.084722,16,135.796866
39.274722,17,135.815866
-40.928333,14,135.830866
41.780556,20,135.852867
68.556389,15,135.870866
-53.946111,14,135.886865
-81.7425,13,135.899867
-50.264722,19,135.920865
-51.200278,20,135.943866
21.8775,20,135.965865
57.222222,18,135.983867
44.772222,19,136.003866
-55.423333,16,136.020865
-40.168611,18,136.038868
-80.746389,16,136.056866
-23.573056,18,136.076865
-62.317778,14,136.090868
-29.212222,18,136.111871
-70.611667,14,136.125869
8.578611,20,136.146865
64.158333,16,136.164866
-59.380556,13,136.181886
-33.803611,19,136.198886
-69.153333,19,136.218883
-71.47,15,136.235886
-29.322222,18,136.251885
-44.940556,12,136.264869
50.405,19,136.286865
67.785,11,136.297866
8.309167,20,136.317865
40.851111,20,136.339865
-38.090278,19,136.358866
-56.456667,17,136.374869
-60.582222,19,136.396871
47.595278,20,136.417866
-66.323333,11,136.427865
-78.162222,15,136.444867
-39.0725,19,136.464887
6.198056,20,136.485886
-50.453889,17,136.502881
-67.033611,12,136.516882
-52.405,15,136.532874
-69.818889,11,136.544876
-29.706389,20,136.565876
-54.876111,20,136.585875
2.64,20,136.606874
-47.4675,17,136.622875
-50.009167,15,136.638875
36.785556,16,136.653875
70.678889,8,136.665865
-57.735833,11,136.675866
-18.903056,20,136.697866
49.528056,18,136.71887
-67.729167,14,136.731873
75.334167,15,136.74987
21.023889,20,136.770866
28.363056,20,136.790865
59.679722,17,136.807865
-51.387778,15,136.824865
66.308611,11,136.836865
6.221667,20,136.855865
43.3725,16,136.871866
-53.386667,18,136.888865
-79.491667,13,136.904865
-23.716111,18,136.922866
-57.590278,16,136.938866
27.985,20,136.957867
-66.122778,10,136.968866
-44.308056,17,136.985866
-72.966944,12,136.996866
-37.122222,18,137.013866
-35.207778,20,137.033865
44.383889,20,137.053865
-60.640556,18,137.071865
-81.169444,17,137.088866
-93.992222,15,137.103866
1.758333,20,137.123866
-45.348333,15,137.139868
38.254167,20,137.161871
-57.0375,18,137.181865
-67.679722,17,137.199866
-61.191667,11,137.211869
-59.043333,13,137.224865
-38.001111,15,137.241865
-82.8525,14,137.257866
-58.950556,15,137.270866
59.911667,13,137.285866
-59.798889,16,137.301866
-43.441944,20,137.321866
-47.304444,16,137.337866
66.224167,15,137.351865
-49.299722,17,137.370866
-55.881944,15,137.384869
-72.290556,13,137.401865
-74.074722,20,137.424868
-47.273889,18,137.443865
-67.924167,15,137.460873
-35.735278,20,137.481873
65.9425,20,137.502872
-33.213333,19,137.523872
-35.535833,20,137.547871
36.927222,20,137.569871
-55.107778,16,137.586872
9.964167,20,137.610865
-19.404444,19,137.629866
-37.335,19,137.648866
74.391389,10,137.660866
21.827778,20,137.683866
-74.867778,15,137.697869
44.721944,12,137.709865
-76.3625,14,137.725866
-65.841389,16,137.743865
-35.2375,18,137.761865
-56.450278,14,137.777866
-42.017222,19,137.797866
19.477778,19,137.814865
21.760556,19,137.833865
-57.723333,13,137.846865
-87.676944,12,137.860865
-69.201944,15,137.877865
-78.571944,11,137.889865
21.611111,20,137.910865
-37.036944,20,137.931866
-18.201111,20,137.951866
-27.103333,20,137.972865
-65.935556,20,137.992866
-61.719444,17,138.009865
41.025,20,138.035866
12.303611,20,138.056867
-31.796389,19,138.077873
37.169722,18,138.095865
-74.518056,20,138.115865
-56.5875,16,138.131867
-48.823889,19,138.150865
-75.743611,11,138.164865
-68.619444,17,138.181867
-68.608611,14,138.19687
-49.893333,17,138.21287
-40.643333,20,138.233866
52.925,14,138.245865
14.803056,20,138.268866
40.428333,19,138.289866
-81.967778,17,138.307866
-25.3225,20,138.32887
-50.145278,17,138.348871
-61.528889,16,138.365869
47.593333,15,138.379864
-43.172778,18,138.398865
77.010556,16,138.415871
-75.495556,12,138.430866
85.538056,9,138.440865
-33.448056,20,138.463865
-71.685833,12,138.477867
-6.283056,20,138.499866
-56.794722,17,138.52187
34.843333,19,138.544871
-34.133333,14,138.561872
-73.483056,14,138.575874
-55.706389,17,138.592874
-20.591389,19,138.612868
-62.051389,19,138.634868
-48.112778,14,138.647866
-30.445833,17,138.667867
0.420833,20,138.690866
43.333611,20,138.711865
-65.071111,14,138.724865
59.673611,10,138.735866
-64.624167,12,138.748865
-29.851944,19,138.764865
-95.179167,15,138.781865
-92.416667,11,138.793868
-80.913889,13,138.805867
63.869444,17,138.822867
-56.349444,18,138.840865
-38.186111,16,138.857872
81.3375,17,138.874875
35.755278,19,138.895877
54.578611,13,138.907873
-57.242222,13,138.920873
-64.292778,16,138.935874
-32.107778,17,138.955866
43.839722,20,138.976868
-69.677778,18,138.994866
-32.680556,20,139.013867
-44.155556,19,139.033866
-98.768611,18,139.049866
-60.043056,16,139.066865
-68.205,15,139.081865
-64.008889,17,139.098865
-52.149722,13,139.114871
-56.844722,16,139.130865
-76.634444,16,139.146869
34.761389,17,139.164865
-80.440833,12,139.176865
-78.145833,17,139.194871
-81.930556,13,139.20887
-20.405833,17,139.229872
-71.489444,20,139.252882
-59.466389,15,139.267883
-54.987222,17,139.286885
-87.896667,14,139.300865
42.593611,16,139.316866
29.1725,19,139.337865
-25.801667,20,139.357865
-50.715833,16,139.374866
-46.515278,18,139.391867
-76.195833,9,139.404866
-85.524722,9,139.413865
8.051389,20,139.435887
-66.318056,15,139.452883
-71.534167,14,139.467865
-3.419722,20,139.488866
-59.595,19,139.510865
0.004722,20,139.533868
18.212778,20,139.556865
-66.456667,13,139.571865
46.018889,16,139.588867
-43.701389,18,139.608866
-79.788056,10,139.617866
-88.178056,14,139.632888
-82.493056,7,139.637885
-21.563611,19,139.656888
-79.329722,11,139.669883
-52.898889,17,139.691884
67.003056,16,139.707886
12.866667,20,139.727886
-46.150278,15,139.745883
-113.796944,13,139.759865
14.225556,20,139.777888
52.0275,18,139.796887
-31.691389,15,139.810883
-97.958056,11,139.822885
61.553889,17,139.838883
-23.389444,19,139.858871
-76.7725,20,139.878865
63.009722,16,139.894865
-39.991667,17,139.911866
-65.735278,13,139.926866
-60.39,17,139.945866
-50.179722,19,139.966869
-73.443056,10,139.975866
-60.1825,13,139.988865
-77.028056,17,140.008865
-63.029722,12,140.020865
-67.830833,14,140.033865
14.770833,20,140.054866
-71.375556,10,140.067866
-72.013889,16,140.084866
-66.209444,15,140.101865
-31.895278,18,140.123866
-51.129722,16,140.140869
25.434167,20,140.161867
49.916944,13,140.175865
-75.701389,10,140.188871
-94.120278,10,140.198865
30.679444,17,140.215865
-44.999722,19,140.235868
-44.824167,14,140.252866
39.054444,20,140.273865
42.230833,20,140.294865
-78.689444,13,140.306866
-42.885556,19,140.325867
-15.169167,20,140.347867
-67.731667,16,140.365867
-49.716944,19,140.384866
18.25,20,140.405865
-5.716944,20,140.424865
-72.502778,16,140.442868
-57.334167,15,140.457865
-64.976667,17,140.474869
77.541667,19,140.495866
-43.043056,13,140.507867
54.736667,19,140.527866
33.776667,20,140.547865
63.152222,18,140.567867
-47.056667,17,140.584865
-86.768611,18,140.599867
-53.562222,17,140.621866
-65.140556,15,140.635865
-58.751944,13,140.650866
-70.948611,17,140.666868
-57.315833,14,140.679866
-40.121111,19,140.704865
-91.531389,16,140.720865
-79.615556,12,140.734865
-59.333611,13,140.747865
-67.978889,9,140.759865
-83.020556,10,140.769865
-51.542222,18,140.788867
67.959444,15,140.802865
-61.365278,19,140.822865
-73.063333,19,140.843865
-66.981111,15,140.858865
34.751111,20,140.878872
-51.460833,19,140.896864
-29.111389,18,140.919866
-48.259722,18,140.938865
9.421111,20,140.958866
-73.480833,15,140.975867
-77.473611,16,140.991865
-96.621111,9,141.001866
-46.897778,19,141.021866
-72.112222,14,141.036865
-30.63,17,141.052869
-66.583333,15,141.070866
43.078889,19,141.088865
-33.018056,20,141.108865
35.9375,19,141.127865
-64.572778,17,141.143865
72.266389,14,141.158866
-87.369444,12,141.171865
-33.593056,17,141.189865
30.457778,20,141.209865
-83.815,12,141.221865
42.694167,17,141.237865
54.691667,15,141.253866
-3.421111,20,141.272866
-58.635556,17,141.290865
-56.936944,15,141.305865
25.189722,19,141.324867
35.146944,20,141.343866
-14.321667,19,141.363873
-8.262222,20,141.384866
-118.076111,11,141.393867
33.541944,18,141.413866
-94.452222,13,141.425865
-65.211667,15,141.440866
-48.263333,15,141.456868
-80.439444,10,141.465869
-17.730833,20,141.484866
-4.249722,20,141.505865
36.5575,20,141.524866
-50.258333,18,141.544865
-63.037778,18,141.561866
-86.378056,10,141.575871
63.589167,12,141.590866
-43.237778,18,141.607868
49.077778,20,141.631867
-14.807778,20,141.653866
-32.936667,19,141.673865
-51.463611,19,141.693868
-37.023333,18,141.71187
-84.8275,12,141.72387
-73.149444,14,141.738867
-21.346389,19,141.757865
-23.560833,20,141.779865
-53.36,13,141.795865
-68.9825,12,141.806865
-13.552778,19,141.82687
-47.271111,16,141.84487
-37.830833,16,141.864872
47.1925,20,141.885866
1.268611,20,141.905866
-69.092778,15,141.920866
0.771111,20,141.942873
-42.764167,18,141.96487
-69.747778,13,141.97887
40.834722,16,141.997865
-105.033333,17,142.014866
-81.811944,14,142.030865
31.562778,19,142.048866
-48.771667,19,142.068869
24.703611,20,142.090866
44.620556,18,142.110867
-77.862778,13,142.126866
-65.757222,17,142.143865
39.103056,18,142.162867
16.236111,19,142.179869
-78.549722,17,142.202866
46.059444,15,142.218865
-72.130278,15,142.236865
-63.836944,20,142.259866
53.613333,17,142.276865
-66.259722,13,142.291868
25.028056,20,142.312865
-59.546389,16,142.329865
-41.946389,18,142.346866
-58.596667,12,142.358867
-70.743889,16,142.376871
-43.295278,18,142.395872
-43.183611,16,142.411875
55.081389,18,142.432872
-66.236667,20,142.453866
-71.461389,18,142.473867
-72.846111,18,142.490884
71.019722,11,142.502887
-4.969444,20,142.525881
43.043889,19,142.545887
-45.621111,15,142.559866
-95.459444,11,142.570867
44.7775,15,142.586865
-56.428056,18,142.603866
-61.499167,12,142.615866
-67.9775,17,142.634868
-78.208056,11,142.645871
86.118333,9,142.658866
37.434722,19,142.677865
-67.225278,14,142.694865
48.917778,17,142.712865
-53.334167,15,142.727866
76.618333,20,142.750865
-28.932222,20,142.772866
-4.925556,20,142.792866
-97.636944,14,142.804868
-50.579167,16,142.823869
-65.424722,19,142.845865
62.930278,14,142.861867
-25.820833,19,142.87987
-83.85,12,142.892865
-71.558056,18,142.915865
-78.231667,16,142.932865
-59.964722,16,142.949867
56.291667,19,142.969866
-58.388889,17,142.985868
-64.843889,17,143.002865
-53.909722,12,143.014865
59.700556,14,143.030866
-1.679167,20,143.052867
56.433611,17,143.070868
-93.336389,19,143.090868
-44.132222,18,143.108867
-14.205556,20,143.132866
-75.814722,17,143.153866
-28.532778,20,143.176866
-62.72,17,143.197865
-37.340556,15,143.210865
62.228333,13,143.225865
-61.196389,17,143.243865
6.708611,20,143.262871
29.451111,20,143.283866
-8.198889,20,143.303867
-36.356111,16,143.319865
-51.475556,17,143.337883
-40.649722,20,143.361866
-28.108611,18,143.382865
-53.529444,17,143.399866
-91.134722,9,143.407865
-71.987778,17,143.423866
-61.145278,14,143.439866
-66.675556,14,143.451865
-25.435833,19,143.471873
-49.918889,14,143.487866
-71.525556,13,143.500866
-51.289444,18,143.517865
-91.835,13,143.53187
-66.264722,12,143.543867
-29.408889,20,143.564868
-63.645833,18,143.58687
-71.181389,11,143.598866
16.116944,18,143.617865
1.015833,20,143.639866
-56.588056,18,143.661865
3.221111,20,143.682865
-56.269722,17,143.698865
-25.789722,18,143.719867
60.128333,18,143.738865
-56.929444,17,143.756872
16.092778,20,143.776865
-56.357222,18,143.797865
-51.815833,13,143.810866
48.9625,20,143.832866
-50.510833,18,143.851867
42.380833,19,143.869865
29.181944,20,143.889865
-52.143611,17,143.909871
24.529444,20,143.930865
-75.608333,13,143.942866
-67.69,11,143.955865
70.261944,12,143.967867
-68.6425,20,143.989865
32.969444,20,144.011866
29.573611,18,144.028866
-83.499444,12,144.041867
72.496111,9,144.050868
46.913611,18,144.073869
-35.746667,19,144.093866
57.404167,16,144.111866
58.296667,12,144.122866
56.501667,13,144.136865
-76.479444,17,144.153868
78.0575,20,144.176865
-32.472778,19,144.198886
-48.716944,19,144.218868
-60.460278,18,144.237866
-52.042222,15,144.253866
25.9225,20,144.273883
-49.313056,18,144.290883
40.240833,20,144.309865
-82.513611,10,144.322885
-57.724444,18,144.342884
-63.084444,14,144.358877
-58.765833,19,144.378886
-47.933611,12,144.390865
48.193889,20,144.412865
-72.766111,13,144.425872
-44.666944,18,144.44287
-37.405278,18,144.462866
-71.273889,20,144.483872
61.372222,16,144.499873
-66.1575,14,144.513865
35.885833,19,144.535865
-43.3025,17,144.555866
84.694722,15,144.573865
-72.843056,17,144.591865
-64.080556,18,144.613866
-69.296389,10,144.623867
-53.499167,15,144.640866
-63.952778,18,144.65987
-25.330278,19,144.677866
-48.21,17,144.696867
-80.354444,15,144.709866
-60.396944,18,144.728866
-69.42,14,144.741866
-61.732222,15,144.757865
-42.702222,19,144.786865
56.671389,13,144.799865
-60.590833,16,144.818865
42.408889,17,144.836865
50.229444,17,144.856868
-83.759722,11,144.866867
-75.947222,20,144.889865
-13.516667,19,144.908868
-91.665,18,144.928865
-68.462778,17,144.944865
-78.682222,16,144.960865
-49.235,18,144.97887
70.404167,15,144.994871
-65.105,16,145.010872
-4.730833,20,145.030865
-38.5275,19,145.050865
-75.668889,13,145.064866
-62.2475,15,145.080865
16.255278,20,145.102867
-13.385,20,145.122872
-40.355278,18,145.140871
-31.561111,17,145.160871
-72.287222,10,145.17087
72.994722,14,145.187865
34.863889,17,145.204865
-49.383889,17,145.220865
69.35,14,145.236867
3.688056,20,145.257865
-44.010556,18,145.275865
8.122778,20,145.295866
50.260278,19,145.314887
-26.053333,18,145.331883
10.1825,20,145.352865
46.073056,17,145.371865
-93.379722,14,145.384867
-71.401667,11,145.398865
-61.503889,18,145.417865
-43.730556,17,145.437865
-31.633611,18,145.455867
-73.947222,12,145.468874
-60.834722,20,145.489865
-75.9025,11,145.501872
1.358611,20,145.523872
-26.884167,16,145.540872
-86.395,14,145.554871
0.605556,20,145.575876
-58.5425,18,145.595876
7.008889,20,145.616872
-54.131667,16,145.633867
-62.241111,13,145.646866
-75.855556,16,145.661867
-19.698333,20,145.682866
88.302222,19,145.702868
53.304167,14,145.715866
-85.708333,11,145.726867
35.52,16,145.743865
-92.895833,15,145.759866
-35.608611,18,145.776866
20.892222,19,145.799869
-72.75,16,145.815869
-71.958889,11,145.828877
-87.5025,11,145.840865
-22.271667,18,145.857865
